scores.visitors.points,scores.home.points,last_ten_w_prc,w_prc,games_played,points0,points1,points2,points3,points4,min0,min1,min2,min3,min4,fgm0,fgm1,fgm2,fgm3,fgm4,fga0,fga1,fga2,fga3,fga4,fgp0,fgp1,fgp2,fgp3,fgp4,ftm0,ftm1,ftm2,ftm3,ftm4,fta0,fta1,fta2,fta3,fta4,ftp0,ftp1,ftp2,ftp3,ftp4,tpm0,tpm1,tpm2,tpm3,tpm4,tpa0,tpa1,tpa2,tpa3,tpa4,tpp0,tpp1,tpp2,tpp3,tpp4,offReb0,offReb1,offReb2,offReb3,offReb4,defReb0,defReb1,defReb2,defReb3,defReb4,totReb0,totReb1,totReb2,totReb3,totReb4,assists0,assists1,assists2,assists3,assists4,pFouls0,pFouls1,pFouls2,pFouls3,pFouls4,steals0,steals1,steals2,steals3,steals4,turnovers0,turnovers1,turnovers2,turnovers3,turnovers4,blocks0,blocks1,blocks2,blocks3,blocks4,plusMinus0,plusMinus1,plusMinus2,plusMinus3,plusMinus4
108.0,117.0,0.4,0.5142857142857142,35,2,5,12,3,38,15,31,28,14,36,1,2,4,1,16,1,4,10,3,25,100.0,50.0,40.0,33.3,64.0,0,0,1,0,6,0,0,1,0,8,0,0,100.0,0,75.0,0,1,3,1,0,0,2,7,3,4,0,50.0,42.9,33.3,0,0,0,0,0,3,4,4,1,2,9,4,4,1,2,12,0,0,1,0,6,4,2,4,1,5,0,0,0,1,0,0,2,1,0,5,1,0,0,0,1,7.0,6.0,3.0,1.0,0.0
126.0,140.0,0.4,0.5,36,5,0,0,0,3,18,1,1,1,1,2,0,0,0,1,3,0,0,0,2,66.7,0,0,0,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,50.0,0,0,0,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,3.0,3.0,3.0,3.0
106.0,112.0,0.4,0.5135135135135135,37,17,16,15,7,39,35,41,26,39,36,7,5,5,2,14,12,23,11,3,24,58.3,21.7,45.5,66.7,58.3,0,5,3,3,9,0,5,4,4,13,0,100.0,75.0,75.0,69.2,3,1,2,0,2,6,9,6,0,6,50.0,11.1,33.3,0,33.3,3,0,1,4,3,3,4,3,5,6,6,4,4,9,9,1,14,2,3,0,6,4,0,3,5,2,1,1,3,0,1,2,1,1,6,0,0,1,3,0,19.0,16.0,15.0,10.0,2.0
100.0,116.0,0.5,0.5263157894736842,38,11,10,31,11,35,34,37,38,25,39,5,4,13,4,13,9,6,22,10,23,55.6,66.7,59.1,40.0,56.5,0,2,1,0,6,0,3,1,0,7,0,66.7,100.0,0,85.7,1,0,4,3,3,4,0,9,8,7,25.0,0,44.4,37.5,42.9,2,7,0,1,0,6,13,3,4,6,8,20,3,5,6,2,1,13,5,4,2,2,3,2,3,2,0,0,1,2,1,2,4,3,3,0,5,0,0,1,35.0,32.0,31.0,18.0,13.0
128.0,92.0,0.5,0.5384615384615384,39,10,19,17,11,15,30,24,35,37,15,4,6,8,3,4,7,13,9,11,8,57.1,46.2,88.9,27.3,50.0,2,3,1,4,3,2,3,2,4,3,100.0,100.0,50.0,100.0,100.0,0,4,0,1,4,2,9,0,3,6,0,44.4,0,33.3,66.7,3,2,1,1,0,12,6,5,1,1,15,8,6,2,1,6,2,5,0,4,2,3,4,3,1,0,1,2,1,0,2,1,1,0,0,1,1,2,0,0,46.0,37.0,26.0,20.0,20.0
121.0,105.0,0.5,0.55,40,8,39,9,33,9,39,38,32,35,31,4,13,3,10,4,8,23,8,18,7,50.0,56.5,37.5,55.6,57.1,0,10,2,9,0,0,13,2,9,0,0,76.9,100.0,100.0,0,0,3,1,4,1,0,8,4,8,3,0,37.5,25.0,50.0,33.3,2,3,2,0,2,17,4,2,3,3,19,7,4,3,5,2,5,1,8,2,3,2,1,2,3,4,1,0,0,1,5,2,2,2,1,2,0,0,0,0,26.0,24.0,24.0,20.0,11.0
84.0,112.0,0.6,0.5609756097560976,41,20,5,12,23,13,32,28,26,29,19,7,1,3,9,4,17,1,11,12,9,41.2,100.0,27.3,75.0,44.4,4,3,5,1,2,4,4,6,2,2,100.0,75.0,83.3,50.0,100.0,2,0,1,4,3,4,0,7,6,8,50.0,0,14.3,66.7,37.5,0,5,1,2,0,7,9,2,2,4,7,14,3,4,4,8,3,7,0,2,1,3,0,3,2,0,3,0,1,1,2,2,0,1,0,1,1,0,1,0,31.0,31.0,29.0,26.0,14.0
124.0,128.0,0.5,0.5476190476190477,42,10,30,7,32,19,39,39,16,37,30,4,10,3,12,7,10,22,3,23,13,40.0,45.5,100.0,52.2,53.8,1,8,1,6,0,1,9,2,7,0,100.0,88.9,50.0,85.7,0,1,2,0,2,5,6,6,0,7,10,16.7,33.3,0,28.6,50.0,1,0,1,1,1,5,2,5,5,3,6,2,6,6,4,2,8,0,5,3,1,3,4,3,4,0,1,1,2,2,1,4,2,4,2,2,0,0,0,0,14.0,8.0,3.0,-1.0,-6.0
106.0,94.0,0.6,0.5581395348837209,43,19,24,13,18,12,38,36,33,32,42,7,9,4,7,5,10,21,14,15,6,70.0,42.9,28.6,46.7,83.3,1,5,2,3,2,2,6,3,4,4,50.0,83.3,66.7,75.0,50.0,4,1,3,1,0,7,6,11,4,0,57.1,16.7,27.3,25.0,0,0,5,0,2,7,6,6,3,3,13,6,11,3,5,20,5,5,4,2,2,3,2,2,1,1,1,0,4,1,2,3,6,2,4,3,1,1,0,4,4,13.0,10.0,8.0,7.0,7.0
98.0,94.0,0.6,0.5454545454545454,44,15,20,15,17,7,24,36,38,44,29,5,8,5,5,3,12,17,18,11,6,41.7,47.1,27.8,45.5,50.0,3,0,3,4,1,6,0,5,4,1,50.0,0,60.0,100.0,100.0,2,4,2,3,0,8,10,9,4,0,25.0,40.0,22.2,75.0,0,2,0,1,1,5,4,2,5,1,7,6,2,6,2,12,4,1,5,4,3,2,4,3,2,5,0,2,0,0,0,0,1,0,2,2,1,1,0,0,0,9.0,3.0,2.0,2.0,0.0
94.0,109.0,0.7,0.5555555555555556,45,15,31,7,30,10,43,34,41,37,30,5,11,3,11,5,10,19,5,21,11,50.0,57.9,60.0,52.4,45.5,3,5,1,4,0,3,6,1,7,0,100.0,83.3,100.0,57.1,0,2,4,0,4,0,5,8,0,9,2,40.0,50.0,0,44.4,0,0,2,2,0,5,5,6,9,3,9,5,8,11,3,14,0,4,5,7,1,2,4,4,2,2,4,0,2,0,0,1,4,2,2,0,1,1,2,0,0,24.0,15.0,13.0,12.0,10.0
109.0,113.0,0.7,0.5652173913043478,46,19,19,41,6,21,38,43,40,39,39,6,6,14,3,8,15,9,27,5,17,40.0,66.7,51.9,60.0,47.1,2,4,11,0,2,2,4,13,0,4,100.0,100.0,84.6,0,50.0,5,3,2,0,3,12,5,4,0,8,41.7,60.0,50.0,0,37.5,0,0,1,5,1,3,7,7,12,7,3,7,8,17,8,3,1,8,3,5,4,3,2,2,2,0,0,2,2,0,3,1,6,2,5,1,2,1,1,0,15.0,12.0,10.0,8.0,1.0
100.0,126.0,0.7,0.574468085106383,47,38,14,10,18,1,35,37,26,32,23,13,5,3,7,0,23,11,5,13,1,56.5,45.5,60.0,53.8,0,7,4,2,1,1,7,4,2,2,2,100.0,100.0,100.0,50.0,50.0,5,0,2,3,0,11,3,3,7,0,45.5,0,66.7,42.9,0,1,0,1,7,0,4,7,8,9,4,5,7,9,16,4,9,1,1,10,1,3,2,1,3,2,1,1,0,0,0,3,1,3,7,0,0,3,1,0,0,22.0,20.0,20.0,16.0,13.0
108.0,103.0,0.7,0.5833333333333334,48,6,10,2,30,5,21,33,28,36,20,3,3,1,11,2,6,8,7,22,5,50.0,37.5,14.3,50.0,40.0,0,4,0,6,0,0,4,0,7,0,0,100.0,0,85.7,0,0,0,0,2,1,1,1,3,7,4,0,0,0,28.6,25.0,4,1,1,0,0,5,4,4,3,1,9,5,5,3,1,2,1,1,4,2,1,2,1,2,2,0,4,2,0,1,0,3,1,2,0,0,2,1,0,0,13.0,11.0,9.0,7.0,5.0
84.0,122.0,0.7,0.5918367346938775,49,26,16,17,21,2,29,26,30,27,25,10,5,7,7,1,18,10,15,10,1,55.6,50.0,46.7,70.0,100.0,3,2,2,6,0,5,2,2,6,0,60.0,100.0,100.0,100.0,0,3,4,1,1,0,9,9,5,2,0,33.3,44.4,20.0,50.0,0,0,2,3,0,1,2,1,4,1,7,2,3,7,1,8,1,6,8,4,0,2,2,2,0,4,6,1,1,0,0,1,0,2,2,1,0,0,0,0,1,38.0,27.0,25.0,24.0,20.0
109.0,125.0,0.7,0.6,50,14,32,4,19,12,32,38,31,34,24,5,12,2,8,3,7,22,7,14,6,71.4,54.5,28.6,57.1,50.0,2,4,0,1,4,2,5,0,3,8,100.0,80.0,0,33.3,50.0,2,4,0,2,2,3,8,0,5,5,66.7,50.0,0,40.0,40.0,1,0,3,0,1,8,5,7,1,3,9,5,10,1,4,5,8,1,4,1,1,2,2,2,2,0,1,1,2,1,1,0,0,1,0,0,1,2,0,0,30.0,24.0,19.0,13.0,10.0
113.0,92.0,0.8,0.6078431372549019,51,28,9,32,8,10,42,33,34,39,16,10,4,13,3,4,22,6,24,7,4,45.5,66.7,54.2,42.9,100.0,3,0,4,2,2,4,0,5,2,3,75.0,0,80.0,100.0,66.7,5,1,2,0,0,15,1,6,3,0,33.3,100.0,33.3,0,0,0,1,0,2,1,6,4,4,10,3,6,5,4,12,4,5,0,7,7,1,3,4,1,0,2,0,0,1,0,3,2,0,2,1,1,1,1,0,0,0,24.0,21.0,20.0,15.0,10.0
103.0,118.0,0.8,0.6153846153846154,52,33,29,18,2,12,39,38,40,19,20,11,10,8,1,4,22,23,13,2,10,50.0,43.5,61.5,50.0,40.0,2,7,2,0,2,2,8,2,0,2,100.0,87.5,100.0,0,100.0,9,2,0,0,2,15,6,3,0,6,60.0,33.3,0,0,33.3,2,0,1,3,0,3,3,4,1,6,5,3,5,4,6,4,9,1,0,2,3,2,3,0,1,4,0,0,0,1,0,0,0,0,0,1,1,2,0,0,23.0,19.0,14.0,14.0,6.0
105.0,109.0,0.9,0.6226415094339622,53,16,12,12,40,5,29,36,43,37,38,6,6,5,15,0,13,8,16,30,6,46.2,75.0,31.3,50.0,0,1,0,2,9,5,1,1,4,11,6,100.0,0,50.0,81.8,83.3,3,0,0,1,0,8,0,3,6,3,37.5,0,0,16.7,0,0,8,8,1,3,1,11,8,4,9,1,19,16,5,12,0,6,0,1,3,1,2,4,3,3,2,0,4,0,0,1,1,2,2,2,0,1,2,0,1,10.0,9.0,7.0,4.0,0.0
113.0,105.0,0.8,0.6111111111111112,54,26,0,0,0,6,40,0,0,0,33,10,0,0,0,2,22,0,0,0,9,45.5,0,0,0,22.2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,100.0,6,0,0,0,0,16,0,0,0,0,37.5,0,0,0,0,1,0,0,0,6,5,0,0,0,9,6,0,0,0,15,4,0,0,0,2,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1.0,0.0,0.0,0.0,-3.0
113.0,123.0,0.8,0.6181818181818182,55,10,6,17,32,12,37,12,35,40,31,3,2,7,12,5,7,4,8,18,14,42.9,50.0,87.5,66.7,35.7,3,0,3,4,0,4,0,4,5,0,75.0,0,75.0,80.0,0,1,2,0,4,2,2,3,0,9,6,50.0,66.7,0,44.4,33.3,1,0,4,0,1,9,1,4,5,2,10,1,8,5,3,4,1,3,5,3,1,0,3,1,4,0,0,2,3,2,1,1,3,2,0,0,0,3,1,0,20.0,15.0,12.0,9.0,0.0
