bet_type,player_name,overKellyStake,underKellyStake,line,over_odds,under_odds,teamName,opponentTeamName,dateStart,calculatedAt
player_threes,Kyshawn George,30.56,0.00,1.50,135.00,-175.00,Washington Wizards,LA Clippers,2026-01-19T20:12:00Z,2026-01-19T20:52:24.942367
player_threes,Terance Mann,0.00,33.93,0.50,-167.00,126.00,Atlanta Hawks,Phoenix Suns,2026-01-20T00:40:00Z,2026-01-19T20:52:25.760587
player_threes,Alex Sarr,0.00,12.23,0.50,-145.00,114.00,Washington Wizards,LA Clippers,2026-01-19T20:12:00Z,2026-01-19T20:52:24.945455
player_threes,Kris Dunn,0.00,12.23,0.50,-145.00,114.00,Utah Jazz,Washington Wizards,2026-01-19T20:12:00Z,2026-01-19T20:52:24.948410
player_threes,Mikal Bridges,0.00,12.23,1.50,-150.00,114.00,New York Knicks,Dallas Mavericks,2026-01-19T22:10:00Z,2026-01-19T20:52:25.091514
player_threes,Josh Hart,52.90,0.00,1.50,152.00,-202.00,New York Knicks,Dallas Mavericks,2026-01-19T22:10:00Z,2026-01-19T20:52:25.097404
player_threes,Naji Marshall,37.79,0.00,1.50,158.00,-211.00,Dallas Mavericks,New York Knicks,2026-01-19T22:10:00Z,2026-01-19T20:52:25.100449
player_threes,Brandon Williams,53.32,0.00,1.50,173.00,-231.00,Dallas Mavericks,New York Knicks,2026-01-19T22:10:00Z,2026-01-19T20:52:25.103343
player_threes,Jordan Clarkson,0.00,49.10,0.50,-180.00,136.00,Utah Jazz,Dallas Mavericks,2026-01-19T22:10:00Z,2026-01-19T20:52:25.106230
player_threes,De'Aaron Fox,0.00,51.87,1.50,-183.00,138.00,San Antonio Spurs,Utah Jazz,2026-01-19T22:10:00Z,2026-01-19T20:52:25.403027
player_threes,Victor Wembanyama,0.00,51.87,1.50,-183.00,138.00,San Antonio Spurs,Utah Jazz,2026-01-19T22:10:00Z,2026-01-19T20:52:25.406613
player_threes,Kyle Filipowski,0.00,89.96,0.50,-231.00,173.00,Utah Jazz,San Antonio Spurs,2026-01-19T22:10:00Z,2026-01-19T20:52:25.418209
player_threes,Isaiah Joe,0.00,54.56,4.50,-180.00,140.00,Oklahoma City Thunder,Cleveland Cavaliers,2026-01-19T19:43:00Z,2026-01-19T20:52:24.804897
player_threes,Davion Mitchell,0.00,91.68,0.50,-235.00,175.00,Miami Heat,Golden State Warriors,2026-01-20T03:10:00Z,2026-01-19T20:52:26.187830
player_threes,Andrew Nembhard,0.00,19.95,1.50,-155.00,118.00,Indiana Pacers,Philadelphia 76ers,2026-01-20T00:10:00Z,2026-01-19T20:52:25.572271
player_threes,Joel Embiid,16.19,0.00,1.50,141.00,-187.00,Philadelphia 76ers,Indiana Pacers,2026-01-20T00:10:00Z,2026-01-19T20:52:25.580978
player_threes,Aaron Wiggins,0.00,30.61,0.50,-160.00,124.00,Oklahoma City Thunder,Cleveland Cavaliers,2026-01-19T19:43:00Z,2026-01-19T20:52:24.824536
player_threes,Shai Gilgeous-Alexander,0.00,54.56,0.50,-180.00,140.00,Oklahoma City Thunder,Cleveland Cavaliers,2026-01-19T19:43:00Z,2026-01-19T20:52:24.821058
player_threes,Donovan Mitchell,0.00,3.94,1.50,-140.00,110.00,Cleveland Cavaliers,Oklahoma City Thunder,2026-01-19T19:43:00Z,2026-01-19T20:52:24.813936
player_threes,De'Andre Hunter,0.00,47.68,1.50,-175.00,135.00,Cleveland Cavaliers,Oklahoma City Thunder,2026-01-19T19:43:00Z,2026-01-19T20:52:24.811041
player_threes,Luguentz Dort,0.00,23.62,3.50,-154.00,120.00,Oklahoma City Thunder,Cleveland Cavaliers,2026-01-19T19:43:00Z,2026-01-19T20:52:24.808113
player_threes,John Collins,0.00,40.28,1.50,-166.00,130.00,Utah Jazz,Washington Wizards,2026-01-19T20:12:00Z,2026-01-19T20:52:24.936585
player_threes,Grayson Allen,0.00,25.41,2.50,-159.00,121.00,Phoenix Suns,Brooklyn Nets,2026-01-20T00:40:00Z,2026-01-19T20:52:25.740491
player_threes,Jalen Green,0.00,33.93,1.50,-167.00,126.00,Houston Rockets,Brooklyn Nets,2026-01-20T00:40:00Z,2026-01-19T20:52:25.754880
player_threes,Paul George,2.50,0.00,2.50,132.00,-174.00,Philadelphia 76ers,Indiana Pacers,2026-01-20T00:10:00Z,2026-01-19T20:52:25.569402
player_threes,Jimmy Butler,0.00,50.49,0.50,-182.00,137.00,Golden State Warriors,Miami Heat,2026-01-20T03:10:00Z,2026-01-19T20:52:26.190796
