player_name,player_id,bet_type,over_prob,under_prob,adj_over_prob,adj_under_prob,over_odds,under_odds,line,teamName,teamId,opponentTeamName,overKellyStake,underKellyStake,overEV,underEV,bankroll,gameId,dateStart,lineTime,calculatedAt
Rui Hachimura,1862,player_assists,0.403954802259887,0.6011730205278593,0.4888111946000006,0.5117861721882174,126.0,-167.0,1.5,Los Angeles Lakers,17,New Orleans Pelicans,83.10579348889001,0.0,8.702281868386722,-0.0,1000,15366,2025-12-01T02:42:00Z,2025-12-01T02:42:00Z,2025-12-01T02:39:01.728071
Austin Reaves,2845,player_rebounds,0.6,0.3939393939393939,0.5146036596819917,0.4845112700342512,-152.0,116.0,4.5,Los Angeles Lakers,17,New Orleans Pelicans,0.0,40.12443385688156,-0.0,1.867565423108905,1000,15386,2025-12-01T02:42:00Z,2025-12-01T02:42:00Z,2025-12-01T02:39:02.253193
Rui Hachimura,1862,player_rebounds,0.3466666666666667,0.6327014218009477,0.477607721820946,0.5193792640329747,120.0,-159.0,4.5,Los Angeles Lakers,17,New Orleans Pelicans,42.280823338400985,0.0,2.1452016266076877,-0.0,1000,15386,2025-12-01T02:42:00Z,2025-12-01T02:42:00Z,2025-12-01T02:39:02.262026
Austin Reaves,2845,player_threes,0.604361370716511,0.4065934065934066,0.5201200024707613,0.4819919872916279,-165.0,125.0,2.5,Los Angeles Lakers,17,New Orleans Pelicans,0.0,67.58557712493021,-0.0,5.709762794137362,1000,15386,2025-12-01T02:42:00Z,2025-12-01T02:42:00Z,2025-12-01T02:39:02.320621
Gabe Vincent,1775,player_threes,0.5966386554621849,0.4065934065934066,0.5186311273349593,0.4819919872916279,-143.0,109.0,1.5,Los Angeles Lakers,17,New Orleans Pelicans,0.0,6.755278384864478,-0.0,0.04974082680214879,1000,15373,2025-12-01T02:42:00Z,2025-12-01T02:42:00Z,2025-12-01T02:39:02.352817
Jake LaRavia,3460,player_threes,0.10869565217391304,0.6666666666666666,0.4245597830784822,0.5321319442443502,156.0,-208.0,1.5,Sacramento Kings,30,New Orleans Pelicans,55.6878491544323,0.0,4.837773007777018,-0.0,1000,15166,2025-12-01T02:42:00Z,2025-12-01T02:42:00Z,2025-12-01T02:39:02.371743
Giannis Antetokounmpo,20,player_assists,0.425,0.6011730205278593,0.4912628593126475,0.5117861721882174,104.0,-137.0,6.5,Milwaukee Bucks,21,Washington Wizards,2.092531728654816,0.0,0.004553836596844198,-0.0,1000,15383,2025-12-02T00:00:00Z,2025-12-02T00:00:00Z,2025-12-01T02:39:02.383908
Kevin Porter Jr.,1888,player_assists,0.5601719197707736,0.4835680751173709,0.5070097403795378,0.4980857594738195,-133.0,101.0,4.5,Milwaukee Bucks,21,Washington Wizards,0.0,1.1409668736408012,-0.0,0.0013148234608131206,1000,15383,2025-12-02T00:00:00Z,2025-12-02T00:00:00Z,2025-12-01T02:39:02.402572
Khris Middleton,361,player_assists,0.425,0.5831533477321814,0.4912628593126475,0.5096869666368055,109.0,-144.0,3.5,Washington Wizards,41,Milwaukee Bucks,24.53153758113161,0.0,0.655958006342975,-0.0,1000,15175,2025-12-02T00:00:00Z,2025-12-02T00:00:00Z,2025-12-01T02:39:02.422126
Bilal Coulibaly,4036,player_assists,0.403954802259887,0.6011730205278593,0.4888111946000006,0.5117861721882174,127.0,-168.0,3.5,Washington Wizards,41,Milwaukee Bucks,86.30032420630035,0.0,9.458637366802938,-0.0,1000,15046,2025-12-02T00:00:00Z,2025-12-02T00:00:00Z,2025-12-01T02:39:02.430993
Alex Sarr,4184,player_assists,0.403954802259887,0.6011730205278593,0.4888111946000006,0.5117861721882174,132.0,-175.0,3.5,Washington Wizards,41,Milwaukee Bucks,101.5469480848496,0.0,13.611553118258225,-0.0,1000,15271,2025-12-02T00:00:00Z,2025-12-02T00:00:00Z,2025-12-01T02:39:02.439146
A.J. Green,3443,player_assists,0.403954802259887,0.6011730205278593,0.4888111946000006,0.5117861721882174,142.0,-188.0,2.5,Milwaukee Bucks,21,Washington Wizards,128.81907812112786,0.0,23.56398394092768,-0.0,1000,15383,2025-12-02T00:00:00Z,2025-12-02T00:00:00Z,2025-12-01T02:39:02.448726
Myles Turner,522,player_assists,0.403954802259887,0.6011730205278593,0.4888111946000006,0.5117861721882174,119.0,-157.0,1.5,Indiana Pacers,15,Washington Wizards,59.24076989411876,0.0,4.176267893001034,-0.0,1000,15463,2025-12-02T00:00:00Z,2025-12-02T00:00:00Z,2025-12-01T02:39:02.457605
Khris Middleton,361,player_points,0.5367847411444142,0.4846743295019157,0.5024979529718673,0.49895927487932423,-129.0,101.0,10.5,Washington Wizards,41,Milwaukee Bucks,0.0,2.879349017269067,-0.0,0.008373557270880825,1000,15175,2025-12-02T00:00:00Z,2025-12-02T00:00:00Z,2025-12-01T02:39:02.529624
Bilal Coulibaly,4036,player_rebounds,0.35054347826086957,0.6327014218009477,0.47817387819267543,0.5193792640329747,113.0,-150.0,4.5,Washington Wizards,41,Milwaukee Bucks,16.3808500446005,0.0,0.30321544044756765,-0.0,1000,15046,2025-12-02T00:00:00Z,2025-12-02T00:00:00Z,2025-12-01T02:39:02.887641
Khris Middleton,361,player_rebounds,0.35054347826086957,0.6327014218009477,0.47817387819267543,0.5193792640329747,125.0,-166.0,4.5,Washington Wizards,41,Milwaukee Bucks,60.71298074681577,0.0,4.607582538954028,-0.0,1000,15175,2025-12-02T00:00:00Z,2025-12-02T00:00:00Z,2025-12-01T02:39:02.897990
Kevin Porter Jr.,1888,player_rebounds,0.7142857142857143,0.4444444444444444,0.5312935564614109,0.49188685573222685,-161.0,122.0,3.5,Milwaukee Bucks,21,Washington Wizards,0.0,75.40067190618329,-0.0,6.936018815162757,1000,15383,2025-12-02T00:00:00Z,2025-12-02T00:00:00Z,2025-12-01T02:39:02.906503
Ryan Rollins,3484,player_rebounds,0.5580357142857144,0.4444444444444444,0.5084753382082988,0.49188685573222685,-155.0,118.0,3.5,Milwaukee Bucks,21,Washington Wizards,0.0,61.28249618326659,-0.0,4.431542319373459,1000,15357,2025-12-02T00:00:00Z,2025-12-02T00:00:00Z,2025-12-01T02:39:02.916002
A.J. Green,3443,player_rebounds,0.5580357142857144,0.4444444444444444,0.5084753382082988,0.49188685573222685,-143.0,109.0,2.5,Milwaukee Bucks,21,Washington Wizards,0.0,25.728007780141454,-0.0,0.7215041189251709,1000,15383,2025-12-02T00:00:00Z,2025-12-02T00:00:00Z,2025-12-01T02:39:02.923944
A.J. Green,3443,player_threes,0.604361370716511,0.42896935933147634,0.5201200024707613,0.48630588448639117,-151.0,115.0,2.5,Milwaukee Bucks,21,Washington Wizards,0.0,39.61534925716608,-0.0,1.8047822812823364,1000,15383,2025-12-02T00:00:00Z,2025-12-02T00:00:00Z,2025-12-01T02:39:02.935293
Ryan Rollins,3484,player_threes,0.3076923076923077,0.875,0.4629246797180575,0.5722968745497878,138.0,-183.0,2.5,Milwaukee Bucks,21,Washington Wizards,73.73966502099775,0.0,7.503802712424362,-0.0,1000,15285,2025-12-02T00:00:00Z,2025-12-02T00:00:00Z,2025-12-01T02:39:02.954180
Myles Turner,522,player_threes,0.5966386554621849,0.4065934065934066,0.5186311273349593,0.4819919872916279,-191.0,144.0,1.5,Indiana Pacers,15,Washington Wizards,0.0,122.26420068859169,-0.0,21.52589006882912,1000,15463,2025-12-02T00:00:00Z,2025-12-02T00:00:00Z,2025-12-01T02:39:02.962413
Kevin Porter Jr.,1888,player_threes,0.3076923076923077,0.875,0.4629246797180575,0.5722968745497878,118.0,-156.0,1.5,Milwaukee Bucks,21,Washington Wizards,7.776103207936752,0.0,0.07135198169857142,-0.0,1000,15383,2025-12-02T00:00:00Z,2025-12-02T00:00:00Z,2025-12-01T02:39:02.972057
Bilal Coulibaly,4036,player_threes,0.10869565217391304,0.875,0.4245597830784822,0.5722968745497878,164.0,-219.0,1.5,Washington Wizards,41,Milwaukee Bucks,73.68160202877618,0.0,8.903524703144207,-0.0,1000,15046,2025-12-02T00:00:00Z,2025-12-02T00:00:00Z,2025-12-01T02:39:02.991750
